EvaluationBodyId_anon,PersonId_anon,Country,Country_De,Country_Fr
3a026fe0-c4e8-4652-8ad9-b707a4e59c99,392fcf40-ca5a-4f66-85e5-c1e09bbefd96,Switzerland,Schweiz,Suisse
a47acc5d-d2eb-48a6-bd72-8e6c7a4de619,21664080-9331-46b2-b4df-a961fde98048,Switzerland,Schweiz,Suisse
55e24273-e4b9-48c2-8174-47f7222aff5e,94baa9b0-0475-42d5-a737-d36727540112,Switzerland,Schweiz,Suisse
7ea7499c-6220-406c-9019-21ce19b408d4,cdeae697-ff08-4f49-b0dc-7aa4f2c31d6e,Switzerland,Schweiz,Suisse
bac925b3-44f9-461c-82c4-708e9835d447,2f99d0f1-811e-4bfc-b14c-bd2f24fd3223,Switzerland,Schweiz,Suisse
a47acc5d-d2eb-48a6-bd72-8e6c7a4de619,b7166f50-e7b9-4c80-b35c-b2d4ccc6acd7,Switzerland,Schweiz,Suisse
edfe59a6-76eb-4b38-97f5-6e8f2e53905e,0b994087-214f-4ca1-925c-54bd3f0f3721,Switzerland,Schweiz,Suisse
da031049-c574-48a0-9afa-cf3d8e267c6a,c46e51b6-05bd-498b-8057-aa28ccf14f02,Switzerland,Schweiz,Suisse
a0599183-1f3a-4a47-a8b6-4cbce1acf662,3f48e89d-7f7c-4291-96b7-367ef680ff18,Switzerland,Schweiz,Suisse
69b887b9-c480-48c6-aba1-352fef583c6f,46ebbc78-f515-4054-8ccd-3c2d4f4b36c6,Switzerland,Schweiz,Suisse
ad6d969c-cfea-451c-98ec-7c8f1d46d103,46ebbc78-f515-4054-8ccd-3c2d4f4b36c6,Switzerland,Schweiz,Suisse
ad6d969c-cfea-451c-98ec-7c8f1d46d103,cdf2832f-9c37-46df-b204-28a6b6f9cb17,Switzerland,Schweiz,Suisse
69b887b9-c480-48c6-aba1-352fef583c6f,cdf2832f-9c37-46df-b204-28a6b6f9cb17,Switzerland,Schweiz,Suisse
50a48a5c-aec9-4cd2-89f8-d27c29300902,99788018-db18-4c8f-945e-cc617d827bac,Switzerland,Schweiz,Suisse
b3c9191f-98a5-42a3-a003-7b9f1ab703e2,74b47707-c740-4018-93ff-4b934a1e2ee7,Luxembourg,Luxemburg,Luxembourg
3a026fe0-c4e8-4652-8ad9-b707a4e59c99,f7beb70c-117b-4344-9402-5b2a2f673dcd,Switzerland,Schweiz,Suisse
3d2de244-4c82-4d3e-977d-20fecca9cbc6,32421eff-3229-4a31-ae4d-3a0ab6abe220,Netherlands,Niederlande,Pays-Bas
ce5cfa28-3759-4b5b-89cb-a72596aa12b3,ef955bec-39ac-4476-b0d8-0e42d9583e43,Germany,Deutschland,Allemagne
865b6248-f160-4101-a63e-33516da98b63,4ac3cea6-bffa-4c45-953e-9dd6e3c0b100,Switzerland,Schweiz,Suisse
72c84ac7-e12c-4977-8058-61dacfefdc8f,d7e172c9-1eb7-42f2-9d60-034a88e43cc0,Switzerland,Schweiz,Suisse
c0de6595-de57-4e27-bc94-7918c425e406,8e16cd7c-fa06-4659-8c25-449dfc890792,Switzerland,Schweiz,Suisse
72c84ac7-e12c-4977-8058-61dacfefdc8f,2b064ec1-4a22-4b1e-a958-60a99b224de0,Switzerland,Schweiz,Suisse
4b19db80-68ab-40dd-a792-549ab48267e9,baafdb70-d4d4-4e51-b2b7-51e3b995b014,Germany,Deutschland,Allemagne
c5d791d3-cf37-4f23-9bae-96972f6808a8,180f3483-9078-4068-9ad1-4df5bee63b2a,Switzerland,Schweiz,Suisse
3a026fe0-c4e8-4652-8ad9-b707a4e59c99,2c9ede49-dde1-4bbd-990d-56d0a2d33380,Germany,Deutschland,Allemagne
3a026fe0-c4e8-4652-8ad9-b707a4e59c99,aba26336-ba46-42b8-8fe3-b4cb8ae40f45,Switzerland,Schweiz,Suisse
79e64163-158f-4b32-bd08-563a2d01bc0a,eff0b307-957f-49f7-b5d5-cea31abe604f,USA,USA,États-Unis
